Agentura,Datum,Hodnota,Průměr,Strana,size
volby+STEM,2021-11-10,0.043915039552719824,KDU-ČSL,KDU-ČSL,1
Kantar,2021-11-10,0.043915039552719824,KDU-ČSL,KDU-ČSL,1
Median,2021-11-10,0.043915039552719824,KDU-ČSL,KDU-ČSL,1
STEM,2021-11-10,0.043915039552719824,KDU-ČSL,KDU-ČSL,1
volby+STEM,2021-11-10,0.03475803575281298,KSČM,KSČM,1
Kantar,2021-11-10,0.03475803575281298,KSČM,KSČM,1
Median,2021-11-10,0.03475803575281298,KSČM,KSČM,1
STEM,2021-11-10,0.03475803575281298,KSČM,KSČM,1
volby+STEM,2021-11-10,0.1525719267158651,ODS,ODS,1
Kantar,2021-11-10,0.1525719267158651,ODS,ODS,1
Median,2021-11-10,0.1525719267158651,ODS,ODS,1
STEM,2021-11-10,0.1525719267158651,ODS,ODS,1
volby+STEM,2021-11-10,0.08349082627652489,Piráti,Piráti,1
Kantar,2021-11-10,0.08349082627652489,Piráti,Piráti,1
Median,2021-11-10,0.08349082627652489,Piráti,Piráti,1
STEM,2021-11-10,0.08349082627652489,Piráti,Piráti,1
volby+STEM,2021-11-10,0.030637107992566512,Přísaha,Přísaha,1
Kantar,2021-11-10,0.030637107992566512,Přísaha,Přísaha,1
Median,2021-11-10,0.030637107992566512,Přísaha,Přísaha,1
STEM,2021-11-10,0.030637107992566512,Přísaha,Přísaha,1
volby+STEM,2021-11-10,0.04136570796136413,SOCDEM,SOCDEM,1
Kantar,2021-11-10,0.04136570796136413,SOCDEM,SOCDEM,1
Median,2021-11-10,0.04136570796136413,SOCDEM,SOCDEM,1
STEM,2021-11-10,0.04136570796136413,SOCDEM,SOCDEM,1
volby+STEM,2021-11-10,0.09580738035904521,SPD,SPD,1
Kantar,2021-11-10,0.09580738035904521,SPD,SPD,1
Median,2021-11-10,0.09580738035904521,SPD,SPD,1
STEM,2021-11-10,0.09580738035904521,SPD,SPD,1
volby+STEM,2021-11-10,0.11198115826139345,STAN,STAN,1
Kantar,2021-11-10,0.11198115826139345,STAN,STAN,1
Median,2021-11-10,0.11198115826139345,STAN,STAN,1
STEM,2021-11-10,0.11198115826139345,STAN,STAN,1
volby+STEM,2021-11-10,0.06998495344807588,TOP 09,TOP 09,1
Kantar,2021-11-10,0.06998495344807588,TOP 09,TOP 09,1
Median,2021-11-10,0.06998495344807588,TOP 09,TOP 09,1
STEM,2021-11-10,0.06998495344807588,TOP 09,TOP 09,1
volby+STEM,2022-02-23,0.2617368226497664,ANO,ANO,1
Kantar,2022-02-23,0.2617368226497664,ANO,ANO,1
Median,2022-02-23,0.2617368226497664,ANO,ANO,1
STEM,2022-02-23,0.2617368226497664,ANO,ANO,1
volby+STEM,2022-02-23,0.049214144235059966,KDU-ČSL,KDU-ČSL,1
Kantar,2022-02-23,0.049214144235059966,KDU-ČSL,KDU-ČSL,1
Median,2022-02-23,0.049214144235059966,KDU-ČSL,KDU-ČSL,1
STEM,2022-02-23,0.049214144235059966,KDU-ČSL,KDU-ČSL,1
volby+STEM,2022-02-23,0.022177420425571116,KSČM,KSČM,1
Kantar,2022-02-23,0.022177420425571116,KSČM,KSČM,1
Median,2022-02-23,0.022177420425571116,KSČM,KSČM,1
STEM,2022-02-23,0.022177420425571116,KSČM,KSČM,1
volby+STEM,2022-02-23,0.21412677542649833,ODS,ODS,1
Kantar,2022-02-23,0.21412677542649833,ODS,ODS,1
Median,2022-02-23,0.21412677542649833,ODS,ODS,1
STEM,2022-02-23,0.21412677542649833,ODS,ODS,1
volby+STEM,2022-02-23,0.07465571981586044,Piráti,Piráti,1
Kantar,2022-02-23,0.07465571981586044,Piráti,Piráti,1
Median,2022-02-23,0.07465571981586044,Piráti,Piráti,1
STEM,2022-02-23,0.07465571981586044,Piráti,Piráti,1
volby+STEM,2022-02-23,0.03074530094613994,Přísaha,Přísaha,1
Kantar,2022-02-23,0.03074530094613994,Přísaha,Přísaha,1
Median,2022-02-23,0.03074530094613994,Přísaha,Přísaha,1
STEM,2022-02-23,0.03074530094613994,Přísaha,Přísaha,1
volby+STEM,2022-02-23,0.03059000432683599,SOCDEM,SOCDEM,1
Kantar,2022-02-23,0.03059000432683599,SOCDEM,SOCDEM,1
Median,2022-02-23,0.03059000432683599,SOCDEM,SOCDEM,1
STEM,2022-02-23,0.03059000432683599,SOCDEM,SOCDEM,1
volby+STEM,2022-02-23,0.10973550858807146,SPD,SPD,1
Kantar,2022-02-23,0.10973550858807146,SPD,SPD,1
Median,2022-02-23,0.10973550858807146,SPD,SPD,1
STEM,2022-02-23,0.10973550858807146,SPD,SPD,1
volby+STEM,2022-02-23,0.10308245963135668,STAN,STAN,1
Kantar,2022-02-23,0.10308245963135668,STAN,STAN,1
Median,2022-02-23,0.10308245963135668,STAN,STAN,1
STEM,2022-02-23,0.10308245963135668,STAN,STAN,1
volby+STEM,2022-02-23,0.056668707841162486,TOP 09,TOP 09,1
Kantar,2022-02-23,0.056668707841162486,TOP 09,TOP 09,1
Median,2022-02-23,0.056668707841162486,TOP 09,TOP 09,1
STEM,2022-02-23,0.056668707841162486,TOP 09,TOP 09,1
volby+STEM,2022-03-23,0.2726704182461805,ANO,ANO,1
Kantar,2022-03-23,0.2726704182461805,ANO,ANO,1
Median,2022-03-23,0.2726704182461805,ANO,ANO,1
STEM,2022-03-23,0.2726704182461805,ANO,ANO,1
volby+STEM,2022-03-23,0.043875257950992216,KDU-ČSL,KDU-ČSL,1
Kantar,2022-03-23,0.043875257950992216,KDU-ČSL,KDU-ČSL,1
Median,2022-03-23,0.043875257950992216,KDU-ČSL,KDU-ČSL,1
STEM,2022-03-23,0.043875257950992216,KDU-ČSL,KDU-ČSL,1
volby+STEM,2022-03-23,0.023757859347491,KSČM,KSČM,1
Kantar,2022-03-23,0.023757859347491,KSČM,KSČM,1
Median,2022-03-23,0.023757859347491,KSČM,KSČM,1
STEM,2022-03-23,0.023757859347491,KSČM,KSČM,1
volby+STEM,2022-03-23,0.22058093569424625,ODS,ODS,1
Kantar,2022-03-23,0.22058093569424625,ODS,ODS,1
Median,2022-03-23,0.22058093569424625,ODS,ODS,1
STEM,2022-03-23,0.22058093569424625,ODS,ODS,1
volby+STEM,2022-03-23,0.07396742400724066,Piráti,Piráti,1
Kantar,2022-03-23,0.07396742400724066,Piráti,Piráti,1
Median,2022-03-23,0.07396742400724066,Piráti,Piráti,1
STEM,2022-03-23,0.07396742400724066,Piráti,Piráti,1
volby+STEM,2022-03-23,0.03146505468108106,Přísaha,Přísaha,1
Kantar,2022-03-23,0.03146505468108106,Přísaha,Přísaha,1
Median,2022-03-23,0.03146505468108106,Přísaha,Přísaha,1
STEM,2022-03-23,0.03146505468108106,Přísaha,Přísaha,1
volby+STEM,2022-03-23,0.030719876306220917,SOCDEM,SOCDEM,1
Kantar,2022-03-23,0.030719876306220917,SOCDEM,SOCDEM,1
Median,2022-03-23,0.030719876306220917,SOCDEM,SOCDEM,1
STEM,2022-03-23,0.030719876306220917,SOCDEM,SOCDEM,1
volby+STEM,2022-03-23,0.10524654425736713,SPD,SPD,1
Kantar,2022-03-23,0.10524654425736713,SPD,SPD,1
Median,2022-03-23,0.10524654425736713,SPD,SPD,1
STEM,2022-03-23,0.10524654425736713,SPD,SPD,1
volby+STEM,2022-03-23,0.09608229228288187,STAN,STAN,1
Kantar,2022-03-23,0.09608229228288187,STAN,STAN,1
Median,2022-03-23,0.09608229228288187,STAN,STAN,1
STEM,2022-03-23,0.09608229228288187,STAN,STAN,1
volby+STEM,2022-03-23,0.048132640895118206,TOP 09,TOP 09,1
Kantar,2022-03-23,0.048132640895118206,TOP 09,TOP 09,1
Median,2022-03-23,0.048132640895118206,TOP 09,TOP 09,1
STEM,2022-03-23,0.048132640895118206,TOP 09,TOP 09,1
volby+STEM,2022-04-18,0.27772243826559256,ANO,ANO,1
Kantar,2022-04-18,0.27772243826559256,ANO,ANO,1
Median,2022-04-18,0.27772243826559256,ANO,ANO,1
STEM,2022-04-18,0.27772243826559256,ANO,ANO,1
volby+STEM,2022-04-18,0.04349640305840008,KDU-ČSL,KDU-ČSL,1
Kantar,2022-04-18,0.04349640305840008,KDU-ČSL,KDU-ČSL,1
Median,2022-04-18,0.04349640305840008,KDU-ČSL,KDU-ČSL,1
STEM,2022-04-18,0.04349640305840008,KDU-ČSL,KDU-ČSL,1
volby+STEM,2022-04-18,0.023797575432895197,KSČM,KSČM,1
Kantar,2022-04-18,0.023797575432895197,KSČM,KSČM,1
Median,2022-04-18,0.023797575432895197,KSČM,KSČM,1
STEM,2022-04-18,0.023797575432895197,KSČM,KSČM,1
volby+STEM,2022-04-18,0.22124159663564255,ODS,ODS,1
Kantar,2022-04-18,0.22124159663564255,ODS,ODS,1
Median,2022-04-18,0.22124159663564255,ODS,ODS,1
STEM,2022-04-18,0.22124159663564255,ODS,ODS,1
volby+STEM,2022-04-18,0.07274999296924876,Piráti,Piráti,1
Kantar,2022-04-18,0.07274999296924876,Piráti,Piráti,1
Median,2022-04-18,0.07274999296924876,Piráti,Piráti,1
STEM,2022-04-18,0.07274999296924876,Piráti,Piráti,1
volby+STEM,2022-04-18,0.029218497825792535,Přísaha,Přísaha,1
Kantar,2022-04-18,0.029218497825792535,Přísaha,Přísaha,1
Median,2022-04-18,0.029218497825792535,Přísaha,Přísaha,1
STEM,2022-04-18,0.029218497825792535,Přísaha,Přísaha,1
volby+STEM,2022-04-18,0.0351635237489998,SOCDEM,SOCDEM,1
Kantar,2022-04-18,0.0351635237489998,SOCDEM,SOCDEM,1
Median,2022-04-18,0.0351635237489998,SOCDEM,SOCDEM,1
STEM,2022-04-18,0.0351635237489998,SOCDEM,SOCDEM,1
volby+STEM,2022-04-18,0.1102578862937294,SPD,SPD,1
Kantar,2022-04-18,0.1102578862937294,SPD,SPD,1
Median,2022-04-18,0.1102578862937294,SPD,SPD,1
STEM,2022-04-18,0.1102578862937294,SPD,SPD,1
volby+STEM,2022-04-18,0.08872217985837418,STAN,STAN,1
Kantar,2022-04-18,0.08872217985837418,STAN,STAN,1
Median,2022-04-18,0.08872217985837418,STAN,STAN,1
STEM,2022-04-18,0.08872217985837418,STAN,STAN,1
volby+STEM,2022-04-18,0.04137704818563665,TOP 09,TOP 09,1
Kantar,2022-04-18,0.04137704818563665,TOP 09,TOP 09,1
Median,2022-04-18,0.04137704818563665,TOP 09,TOP 09,1
STEM,2022-04-18,0.04137704818563665,TOP 09,TOP 09,1
volby+STEM,2022-05-17,0.2837504191391564,ANO,ANO,1
Kantar,2022-05-17,0.2837504191391564,ANO,ANO,1
Median,2022-05-17,0.2837504191391564,ANO,ANO,1
STEM,2022-05-17,0.2837504191391564,ANO,ANO,1
volby+STEM,2022-05-17,0.04212276628437633,KDU-ČSL,KDU-ČSL,1
Kantar,2022-05-17,0.04212276628437633,KDU-ČSL,KDU-ČSL,1
Median,2022-05-17,0.04212276628437633,KDU-ČSL,KDU-ČSL,1
STEM,2022-05-17,0.04212276628437633,KDU-ČSL,KDU-ČSL,1
volby+STEM,2022-05-17,0.026523117666594407,KSČM,KSČM,1
Kantar,2022-05-17,0.026523117666594407,KSČM,KSČM,1
Median,2022-05-17,0.026523117666594407,KSČM,KSČM,1
STEM,2022-05-17,0.026523117666594407,KSČM,KSČM,1
volby+STEM,2022-05-17,0.1942889884909265,ODS,ODS,1
Kantar,2022-05-17,0.1942889884909265,ODS,ODS,1
Median,2022-05-17,0.1942889884909265,ODS,ODS,1
STEM,2022-05-17,0.1942889884909265,ODS,ODS,1
volby+STEM,2022-05-17,0.08789751018609629,Piráti,Piráti,1
Kantar,2022-05-17,0.08789751018609629,Piráti,Piráti,1
Median,2022-05-17,0.08789751018609629,Piráti,Piráti,1
STEM,2022-05-17,0.08789751018609629,Piráti,Piráti,1
volby+STEM,2022-05-17,0.02684229176349314,Přísaha,Přísaha,1
Kantar,2022-05-17,0.02684229176349314,Přísaha,Přísaha,1
Median,2022-05-17,0.02684229176349314,Přísaha,Přísaha,1
STEM,2022-05-17,0.02684229176349314,Přísaha,Přísaha,1
volby+STEM,2022-05-17,0.04597551616212966,SOCDEM,SOCDEM,1
Kantar,2022-05-17,0.04597551616212966,SOCDEM,SOCDEM,1
Median,2022-05-17,0.04597551616212966,SOCDEM,SOCDEM,1
STEM,2022-05-17,0.04597551616212966,SOCDEM,SOCDEM,1
volby+STEM,2022-05-17,0.11450495744266075,SPD,SPD,1
Kantar,2022-05-17,0.11450495744266075,SPD,SPD,1
Median,2022-05-17,0.11450495744266075,SPD,SPD,1
STEM,2022-05-17,0.11450495744266075,SPD,SPD,1
volby+STEM,2022-05-17,0.0747546636903729,STAN,STAN,1
Kantar,2022-05-17,0.0747546636903729,STAN,STAN,1
Median,2022-05-17,0.0747546636903729,STAN,STAN,1
STEM,2022-05-17,0.0747546636903729,STAN,STAN,1
volby+STEM,2022-05-17,0.04396717696842303,TOP 09,TOP 09,1
Kantar,2022-05-17,0.04396717696842303,TOP 09,TOP 09,1
Median,2022-05-17,0.04396717696842303,TOP 09,TOP 09,1
STEM,2022-05-17,0.04396717696842303,TOP 09,TOP 09,1
volby+STEM,2022-05-24,0.28456727210603083,ANO,ANO,1
Kantar,2022-05-24,0.28456727210603083,ANO,ANO,1
Median,2022-05-24,0.28456727210603083,ANO,ANO,1
STEM,2022-05-24,0.28456727210603083,ANO,ANO,1
volby+STEM,2022-05-24,0.0414781809848146,KDU-ČSL,KDU-ČSL,1
Kantar,2022-05-24,0.0414781809848146,KDU-ČSL,KDU-ČSL,1
Median,2022-05-24,0.0414781809848146,KDU-ČSL,KDU-ČSL,1
STEM,2022-05-24,0.0414781809848146,KDU-ČSL,KDU-ČSL,1
volby+STEM,2022-05-24,0.026470273679329463,KSČM,KSČM,1
Kantar,2022-05-24,0.026470273679329463,KSČM,KSČM,1
Median,2022-05-24,0.026470273679329463,KSČM,KSČM,1
STEM,2022-05-24,0.026470273679329463,KSČM,KSČM,1
volby+STEM,2022-05-24,0.19407306447137265,ODS,ODS,1
Kantar,2022-05-24,0.19407306447137265,ODS,ODS,1
Median,2022-05-24,0.19407306447137265,ODS,ODS,1
STEM,2022-05-24,0.19407306447137265,ODS,ODS,1
volby+STEM,2022-05-24,0.09010058244046669,Piráti,Piráti,1
Kantar,2022-05-24,0.09010058244046669,Piráti,Piráti,1
Median,2022-05-24,0.09010058244046669,Piráti,Piráti,1
STEM,2022-05-24,0.09010058244046669,Piráti,Piráti,1
volby+STEM,2022-05-24,0.02599105085253832,Přísaha,Přísaha,1
Kantar,2022-05-24,0.02599105085253832,Přísaha,Přísaha,1
Median,2022-05-24,0.02599105085253832,Přísaha,Přísaha,1
STEM,2022-05-24,0.02599105085253832,Přísaha,Přísaha,1
volby+STEM,2022-05-24,0.04645718342360502,SOCDEM,SOCDEM,1
Kantar,2022-05-24,0.04645718342360502,SOCDEM,SOCDEM,1
Median,2022-05-24,0.04645718342360502,SOCDEM,SOCDEM,1
STEM,2022-05-24,0.04645718342360502,SOCDEM,SOCDEM,1
volby+STEM,2022-05-24,0.11513635098404887,SPD,SPD,1
Kantar,2022-05-24,0.11513635098404887,SPD,SPD,1
Median,2022-05-24,0.11513635098404887,SPD,SPD,1
STEM,2022-05-24,0.11513635098404887,SPD,SPD,1
volby+STEM,2022-05-24,0.07095669658575822,STAN,STAN,1
Kantar,2022-05-24,0.07095669658575822,STAN,STAN,1
Median,2022-05-24,0.07095669658575822,STAN,STAN,1
STEM,2022-05-24,0.07095669658575822,STAN,STAN,1
volby+STEM,2022-05-24,0.04424626763023496,TOP 09,TOP 09,1
Kantar,2022-05-24,0.04424626763023496,TOP 09,TOP 09,1
Median,2022-05-24,0.04424626763023496,TOP 09,TOP 09,1
STEM,2022-05-24,0.04424626763023496,TOP 09,TOP 09,1
volby+STEM,2022-06-11,0.28880366359756604,ANO,ANO,1
Kantar,2022-06-11,0.28880366359756604,ANO,ANO,1
Median,2022-06-11,0.28880366359756604,ANO,ANO,1
STEM,2022-06-11,0.28880366359756604,ANO,ANO,1
volby+STEM,2022-06-11,0.04237784521304687,KDU-ČSL,KDU-ČSL,1
Kantar,2022-06-11,0.04237784521304687,KDU-ČSL,KDU-ČSL,1
Median,2022-06-11,0.04237784521304687,KDU-ČSL,KDU-ČSL,1
STEM,2022-06-11,0.04237784521304687,KDU-ČSL,KDU-ČSL,1
volby+STEM,2022-06-11,0.026939239978249024,KSČM,KSČM,1
Kantar,2022-06-11,0.026939239978249024,KSČM,KSČM,1
Median,2022-06-11,0.026939239978249024,KSČM,KSČM,1
STEM,2022-06-11,0.026939239978249024,KSČM,KSČM,1
volby+STEM,2022-06-11,0.18044713904042106,ODS,ODS,1
Kantar,2022-06-11,0.18044713904042106,ODS,ODS,1
Median,2022-06-11,0.18044713904042106,ODS,ODS,1
STEM,2022-06-11,0.18044713904042106,ODS,ODS,1
volby+STEM,2022-06-11,0.09848910867711434,Piráti,Piráti,1
Kantar,2022-06-11,0.09848910867711434,Piráti,Piráti,1
Median,2022-06-11,0.09848910867711434,Piráti,Piráti,1
STEM,2022-06-11,0.09848910867711434,Piráti,Piráti,1
volby+STEM,2022-06-11,0.026100191170243724,Přísaha,Přísaha,1
Kantar,2022-06-11,0.026100191170243724,Přísaha,Přísaha,1
Median,2022-06-11,0.026100191170243724,Přísaha,Přísaha,1
STEM,2022-06-11,0.026100191170243724,Přísaha,Přísaha,1
volby+STEM,2022-06-11,0.04843512656290877,SOCDEM,SOCDEM,1
Kantar,2022-06-11,0.04843512656290877,SOCDEM,SOCDEM,1
Median,2022-06-11,0.04843512656290877,SOCDEM,SOCDEM,1
STEM,2022-06-11,0.04843512656290877,SOCDEM,SOCDEM,1
volby+STEM,2022-06-11,0.11908673107119616,SPD,SPD,1
Kantar,2022-06-11,0.11908673107119616,SPD,SPD,1
Median,2022-06-11,0.11908673107119616,SPD,SPD,1
STEM,2022-06-11,0.11908673107119616,SPD,SPD,1
volby+STEM,2022-06-11,0.06270212060841801,STAN,STAN,1
Kantar,2022-06-11,0.06270212060841801,STAN,STAN,1
Median,2022-06-11,0.06270212060841801,STAN,STAN,1
STEM,2022-06-11,0.06270212060841801,STAN,STAN,1
volby+STEM,2022-06-11,0.046823882897422335,TOP 09,TOP 09,1
Kantar,2022-06-11,0.046823882897422335,TOP 09,TOP 09,1
Median,2022-06-11,0.046823882897422335,TOP 09,TOP 09,1
STEM,2022-06-11,0.046823882897422335,TOP 09,TOP 09,1
volby+STEM,2022-07-20,0.2982062584349458,ANO,ANO,1
Kantar,2022-07-20,0.2982062584349458,ANO,ANO,1
Median,2022-07-20,0.2982062584349458,ANO,ANO,1
STEM,2022-07-20,0.2982062584349458,ANO,ANO,1
volby+STEM,2022-07-20,0.04107922035008449,KDU-ČSL,KDU-ČSL,1
Kantar,2022-07-20,0.04107922035008449,KDU-ČSL,KDU-ČSL,1
Median,2022-07-20,0.04107922035008449,KDU-ČSL,KDU-ČSL,1
STEM,2022-07-20,0.04107922035008449,KDU-ČSL,KDU-ČSL,1
volby+STEM,2022-07-20,0.02707180850777449,KSČM,KSČM,1
Kantar,2022-07-20,0.02707180850777449,KSČM,KSČM,1
Median,2022-07-20,0.02707180850777449,KSČM,KSČM,1
STEM,2022-07-20,0.02707180850777449,KSČM,KSČM,1
volby+STEM,2022-07-20,0.1654672680599078,ODS,ODS,1
Kantar,2022-07-20,0.1654672680599078,ODS,ODS,1
Median,2022-07-20,0.1654672680599078,ODS,ODS,1
STEM,2022-07-20,0.1654672680599078,ODS,ODS,1
volby+STEM,2022-07-20,0.10033518938551873,Piráti,Piráti,1
Kantar,2022-07-20,0.10033518938551873,Piráti,Piráti,1
Median,2022-07-20,0.10033518938551873,Piráti,Piráti,1
STEM,2022-07-20,0.10033518938551873,Piráti,Piráti,1
volby+STEM,2022-07-20,0.030384294400210312,Přísaha,Přísaha,1
Kantar,2022-07-20,0.030384294400210312,Přísaha,Přísaha,1
Median,2022-07-20,0.030384294400210312,Přísaha,Přísaha,1
STEM,2022-07-20,0.030384294400210312,Přísaha,Přísaha,1
volby+STEM,2022-07-20,0.04597001401225932,SOCDEM,SOCDEM,1
Kantar,2022-07-20,0.04597001401225932,SOCDEM,SOCDEM,1
Median,2022-07-20,0.04597001401225932,SOCDEM,SOCDEM,1
STEM,2022-07-20,0.04597001401225932,SOCDEM,SOCDEM,1
volby+STEM,2022-07-20,0.12316035814654541,SPD,SPD,1
Kantar,2022-07-20,0.12316035814654541,SPD,SPD,1
Median,2022-07-20,0.12316035814654541,SPD,SPD,1
STEM,2022-07-20,0.12316035814654541,SPD,SPD,1
volby+STEM,2022-07-20,0.05648534906541945,STAN,STAN,1
Kantar,2022-07-20,0.05648534906541945,STAN,STAN,1
Median,2022-07-20,0.05648534906541945,STAN,STAN,1
STEM,2022-07-20,0.05648534906541945,STAN,STAN,1
volby+STEM,2022-07-20,0.048192631127825736,TOP 09,TOP 09,1
Kantar,2022-07-20,0.048192631127825736,TOP 09,TOP 09,1
Median,2022-07-20,0.048192631127825736,TOP 09,TOP 09,1
STEM,2022-07-20,0.048192631127825736,TOP 09,TOP 09,1
volby+STEM,2022-08-07,0.3001677529245577,ANO,ANO,1
Kantar,2022-08-07,0.3001677529245577,ANO,ANO,1
Median,2022-08-07,0.3001677529245577,ANO,ANO,1
STEM,2022-08-07,0.3001677529245577,ANO,ANO,1
volby+STEM,2022-08-07,0.03956610680665947,KDU-ČSL,KDU-ČSL,1
Kantar,2022-08-07,0.03956610680665947,KDU-ČSL,KDU-ČSL,1
Median,2022-08-07,0.03956610680665947,KDU-ČSL,KDU-ČSL,1
STEM,2022-08-07,0.03956610680665947,KDU-ČSL,KDU-ČSL,1
volby+STEM,2022-08-07,0.027724392252416054,KSČM,KSČM,1
Kantar,2022-08-07,0.027724392252416054,KSČM,KSČM,1
Median,2022-08-07,0.027724392252416054,KSČM,KSČM,1
STEM,2022-08-07,0.027724392252416054,KSČM,KSČM,1
volby+STEM,2022-08-07,0.16460990521998242,ODS,ODS,1
Kantar,2022-08-07,0.16460990521998242,ODS,ODS,1
Median,2022-08-07,0.16460990521998242,ODS,ODS,1
STEM,2022-08-07,0.16460990521998242,ODS,ODS,1
volby+STEM,2022-08-07,0.09943515421005407,Piráti,Piráti,1
Kantar,2022-08-07,0.09943515421005407,Piráti,Piráti,1
Median,2022-08-07,0.09943515421005407,Piráti,Piráti,1
STEM,2022-08-07,0.09943515421005407,Piráti,Piráti,1
volby+STEM,2022-08-07,0.031636075712004,Přísaha,Přísaha,1
Kantar,2022-08-07,0.031636075712004,Přísaha,Přísaha,1
Median,2022-08-07,0.031636075712004,Přísaha,Přísaha,1
STEM,2022-08-07,0.031636075712004,Přísaha,Přísaha,1
volby+STEM,2022-08-07,0.044114700210895946,SOCDEM,SOCDEM,1
Kantar,2022-08-07,0.044114700210895946,SOCDEM,SOCDEM,1
Median,2022-08-07,0.044114700210895946,SOCDEM,SOCDEM,1
STEM,2022-08-07,0.044114700210895946,SOCDEM,SOCDEM,1
volby+STEM,2022-08-07,0.12369354071206531,SPD,SPD,1
Kantar,2022-08-07,0.12369354071206531,SPD,SPD,1
Median,2022-08-07,0.12369354071206531,SPD,SPD,1
STEM,2022-08-07,0.12369354071206531,SPD,SPD,1
volby+STEM,2022-08-07,0.05527766689533327,STAN,STAN,1
Kantar,2022-08-07,0.05527766689533327,STAN,STAN,1
Median,2022-08-07,0.05527766689533327,STAN,STAN,1
STEM,2022-08-07,0.05527766689533327,STAN,STAN,1
volby+STEM,2022-08-07,0.0480173907439015,TOP 09,TOP 09,1
Kantar,2022-08-07,0.0480173907439015,TOP 09,TOP 09,1
Median,2022-08-07,0.0480173907439015,TOP 09,TOP 09,1
STEM,2022-08-07,0.0480173907439015,TOP 09,TOP 09,1
volby+STEM,2022-08-16,0.29944476275541204,ANO,ANO,1
Kantar,2022-08-16,0.29944476275541204,ANO,ANO,1
Median,2022-08-16,0.29944476275541204,ANO,ANO,1
STEM,2022-08-16,0.29944476275541204,ANO,ANO,1
volby+STEM,2022-08-16,0.03975602156733313,KDU-ČSL,KDU-ČSL,1
Kantar,2022-08-16,0.03975602156733313,KDU-ČSL,KDU-ČSL,1
Median,2022-08-16,0.03975602156733313,KDU-ČSL,KDU-ČSL,1
STEM,2022-08-16,0.03975602156733313,KDU-ČSL,KDU-ČSL,1
volby+STEM,2022-08-16,0.027131635998900026,KSČM,KSČM,1
Kantar,2022-08-16,0.027131635998900026,KSČM,KSČM,1
Median,2022-08-16,0.027131635998900026,KSČM,KSČM,1
STEM,2022-08-16,0.027131635998900026,KSČM,KSČM,1
volby+STEM,2022-08-16,0.16556861988246083,ODS,ODS,1
Kantar,2022-08-16,0.16556861988246083,ODS,ODS,1
Median,2022-08-16,0.16556861988246083,ODS,ODS,1
STEM,2022-08-16,0.16556861988246083,ODS,ODS,1
volby+STEM,2022-08-16,0.09996000014547188,Piráti,Piráti,1
Kantar,2022-08-16,0.09996000014547188,Piráti,Piráti,1
Median,2022-08-16,0.09996000014547188,Piráti,Piráti,1
STEM,2022-08-16,0.09996000014547188,Piráti,Piráti,1
